arxiv_id,title,published
2509.14464,Not What the Doctor Ordered: Surveying LLM-based De-identification and Quantifying Clinical Information Loss,2025-09-17
2509.11570,"Bhaasha, Bhasa, Zaban: A Survey for Low-Resourced Languages in South Asia -- Current Stage and Challenges",2025-09-15
2509.19327,A systematic review of trial-matching pipelines using large language models,2025-09-13
2509.10697,A Survey on Retrieval And Structuring Augmented Generation with Large Language Models,2025-09-12
2509.10682,LLM in the Middle: A Systematic Review of Threats and Mitigations to Real-World LLM-based Systems,2025-09-12
2509.09969,Large Language Models Meet Legal Artificial Intelligence: A Survey,2025-09-12
2509.08827,A Survey of Reinforcement Learning for Large Reasoning Models,2025-09-10
2509.08463,Adversarial Attacks Against Automated Fact-Checking: A Survey,2025-09-10
2509.06733,Reinforcement Learning Foundations for Deep Research Systems: A Survey,2025-09-08
2509.05719,Exploring Subjective Tasks in Farsi: A Survey Analysis and Evaluation of Language Models,2025-09-06
2509.05716,A Survey of the State-of-the-Art in Conversational Question Answering Systems,2025-09-06
2509.04605,"Spoken in Jest, Detected in Earnest: A Systematic Review of Sarcasm Recognition -- Multimodal Fusion, Challenges, and Future Prospects",2025-09-04
2509.03871,A Comprehensive Survey on Trustworthiness in Reasoning with Large Language Models,2025-09-04
2509.02547,The Landscape of Agentic Reinforcement Learning for LLMs: A Survey,2025-09-02
2509.02350,Implicit Reasoning in Large Language Models: A Comprehensive Survey,2025-09-02
2509.00496,ResearchQA: Evaluating Scholarly Question Answering at Scale Across 75 Fields with Survey-Mined Questions and Rubrics,2025-08-30
2509.00290,Wage Sentiment Indices Derived from Survey Comments via Large Language Models,2025-08-30
2508.21587,A Survey on Current Trends and Recent Advances in Text Anonymization,2025-08-29
2508.21148,A Survey of Scientific Large Language Models: From Data Foundations to Agent Frontiers,2025-08-28
2508.20275,A Systematic Review on the Generative AI Applications in Human Medical Genomics,2025-08-27
2508.19667,Survey of Specialized Large Language Model,2025-08-27
2508.17692,LLM-based Agentic Reasoning Frameworks: A Survey from Methods to Scenarios,2025-08-25
2508.17184,Towards Alignment-Centric Paradigm: A Survey of Instruction Tuning in Large Language Models,2025-08-24
2508.16982,Decoding Alignment: A Critical Survey of LLM Development Initiatives through Value-setting and Data-centric Lens,2025-08-23
2508.15396,"Attribution, Citation, and Quotation: A Survey of Evidence-based Text Generation with Large Language Models",2025-08-21
2508.15361,A Survey on Large Language Model Benchmarks,2025-08-21
2508.16665,Trust but Verify! A Survey on Verification Design for Test-time Scaling,2025-08-20
2508.13949,Query Logs Analytics: A Aystematic Literature Review,2025-08-19
2508.15822,An Auditable Pipeline for Fuzzy Full-Text Screening in Systematic Reviews: Integrating Contrastive Semantic Highlighting and LLM Judgment,2025-08-17
