key,year,title,url
fu-etal-2025-data,2025,Does Data Contamination Detection Work (Well) for {LLM}s? A Survey and Evaluation on Detection Assumptions,https://aclanthology.org/2025.findings-naacl.291/
ma-2025-causal,2025,Causal Inference with Large Language Model: A Survey,https://aclanthology.org/2025.findings-naacl.327/
xu-ding-2025-large,2025,Large Language Models for Anomaly and Out-of-Distribution Detection: A Survey,https://aclanthology.org/2025.findings-naacl.333/
mao-etal-2025-survey,2025,A Survey to Recent Progress Towards Understanding In-Context Learning,https://aclanthology.org/2025.findings-naacl.408/
liu-etal-2025-large-language,2025,Large Language Models and Causal Inference in Collaboration: A Comprehensive Survey,https://aclanthology.org/2025.findings-naacl.427/
shao-etal-2025-llm,2025,{LLM}-Empowered Patient-Provider Communication: A Data-Centric Survey From a Clinical Perspective,https://aclanthology.org/2025.findings-ijcnlp.40/
ren-etal-2025-measure,2025,How do we measure privacy in text? A survey of text anonymization metrics,https://aclanthology.org/2025.findings-ijcnlp.94/
liang-etal-2025-reasoning,2025,Reasoning {RAG} via System 1 or System 2: A Survey on Reasoning Agentic Retrieval-Augmented Generation for Industry Challenges,https://aclanthology.org/2025.findings-ijcnlp.122/
poria-huang-2025-bhaasha,2025,"Bhaasha, Bh{\={a}}ṣ{\={a}}, Zaban: A Survey for Low-Resourced Languages in {S}outh {A}sia {--} Current Stage and Challenges",https://aclanthology.org/2025.findings-emnlp.73/
shu-etal-2025-survey,2025,A Survey on Sparse Autoencoders: Interpreting the Internal Mechanisms of Large Language Models,https://aclanthology.org/2025.findings-emnlp.89/
shu-etal-2025-large,2025,Large Vision-Language Model Alignment and Misalignment: A Survey Through the Lens of Explainability,https://aclanthology.org/2025.findings-emnlp.90/
lee-hockenmaier-2025-evaluating,2025,Evaluating Step-by-step Reasoning Traces: A Survey,https://aclanthology.org/2025.findings-emnlp.94/
deng-etal-2025-self,2025,Self-Improvement in Multimodal Large Language Models: A Survey,https://aclanthology.org/2025.findings-emnlp.105/
